event_date,venue,event_uid,calendar_summary,post_event_name,songs,se,interludes,encores,doors,showtime,live_start,live_end,length_bucket,source_file
2026-06-03,新宿MARZ,1dgjuambp8pi6iaijg4qnnap0n@google.com,【イベント】UNIVERSE企画『NEW ORDER #無銭NIGHT』,UNIVERSE企画『NEW ORDER #無銭NIGHT』,8,1,0,0,18:30,19:00,19:00,19:30,30 min,2026-08-17.txt
2026-06-06,下北沢シャングリラ,166s6kmodrv21fir7vbdgh4m61@google.com,【イベント】INFINITY LIVE presents『ASTRO CIRCLE 2026』,INFINITY LIVE presents『ASTRO CIRCLE 2026』,9,1,1,0,10:30,11:00,14:40,15:10,30 min,2026-08-17.txt
2026-06-07,下北沢MOSAiC,4itp0da8nsa9im9c4rp44bf5ne@google.com,【イベント】『パピムズFES2026 ミニサーキット Supported by WEEKEND INFNITY』,『パピムズFES2026 ミニサーキット Supported by WEEKEND INFNITY』,8,0,0,0,11:00,11:30,18:20,18:50,30 min,2026-08-17.txt
2026-06-10,Shibuya Milkyway,7jr17h4djpn22fstfcpdkvtsko@google.com,【イベント】#ﾆｷﾌﾟﾚ『カンシャサイ。-夏-』,#ﾆｷﾌﾟﾚ『カンシャサイ。-夏-』,7,0,0,0,16:30,17:00,20:05,20:35,30 min,2026-08-17.txt
2026-06-13,銀座BASE GRANBELL,68cbd9c63topp4ahqqt17h1519@google.com,【イベント】「IDOLGROW vol.25」,「IDOLGROW vol.25」,8,1,0,0,10:30,11:00,14:35,15:05,30 min,2026-08-17.txt
2026-06-14,新宿LOFT,22csfqo9vun3t4lj1g7dtugvks@google.com,【イベント】新宿周遊FES『UNIVERSE × 脱却』,新宿周遊FES『UNIVERSE × 脱却』,9,0,1,0,11:30,12:00,15:45,16:15,30 min,2026-08-17.txt
2026-06-21,渋谷音楽堂,375r8mf2jg0plcgb17l7cqaq45@google.com,【イベント】こぐまカリー主催「Spice it Up」,こぐまカリー主催「Spice it Up」,6,0,0,0,11:00,11:30,18:50,19:13,25 min,2026-08-17.txt
2026-06-22,下北沢SHELTER,7i2fonpegqn7cml77g8ukm1tkc@google.com,【イベント】SOVA presents「Next Challengers」,SOVA presents「Next Challengers」,8,0,0,0,18:50,19:15,20:15,,,2026-08-17.txt
2026-06-25,渋谷近未来会館,7si6al2k3m9vo9047ogr2iikhd@google.com,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,#ﾆｷﾌﾟﾚ『シキサイ。』,8,1,0,0,18:40,19:00,19:00,19:30,30 min,2026-08-17.txt
2026-06-27,TFTホール300,6fcn73k45ih2t9cbtfb32noiak@google.com,【イベント】「アイドル甲子園 FESTIVAL 2026」supported by My-th -DAY1-,「アイドル甲子園 FESTIVAL 2026」supported by My-th -DAY1-,6,1,0,0,09:30,10:00,13:35,13:55,20 min,2026-08-17.txt
2026-06-28,新宿MARZ,6mc2873slrl4snv3tvqqtti42q@google.com,【イベント】Drawry.主催イベント「周防七泉生誕」,Drawry.主催イベント「周防七泉生誕」,10,1,1,1,10:45,11:10,12:10,,,2026-08-17.txt
2026-07-02,SHIBUYA PLEASURE PLEASURE,77m613nvgfr9po9i4vc28thfgg@google.com,【イベント】『PLEASURE TIME』,『PLEASURE TIME』,7,0,1,0,15:45,16:00,19:00,19:25,25 min,2026-08-17.txt
2026-07-04,渋谷WOMB,5ucipdekqh4ji4clnvrgume95e@google.com,【イベント】『NANCY 10th Anniversary「NANCY TANOCY PARTY」』,『NANCY 10th Anniversary「NANCY TANOCY PARTY」』,7,1,0,0,11:00,11:30,12:00,12:25,25 min,2026-08-17.txt
2026-07-05,KANDA SQUARE HALL,1u4c86a5cq0aghjcdsbe0j13pj@google.com,【イベント】『GLiTTRE～Girl’s LiT Trend～』,『GLiTTRE～Girl’s LiT Trend～』,8,1,2,0,10:00,10:15,15:10,15:30,20 min,2026-08-17.txt
2026-07-09,新代田FEVER,34u9mtfo3j7sugj6h70jvn69ad@google.com,"【イベント】「""hyperproof"" vol.24」","「""hyperproof"" vol.24」",6,0,0,0,18:45,19:15,19:40,20:05,25 min,2026-08-17.txt
2026-07-11,渋谷チェルシーホテル,5ht7itop0o99jigu99i5l8mao1@google.com,【イベント】『SPARK 2026 渋谷納涼祭』,『SPARK 2026 渋谷納涼祭』,6,0,1,0,09:00,09:30,17:45,18:05,20 min,2026-08-17.txt
2026-07-12,Studio Freedom,1bnt4c0buhjueioos0pn03os6t@google.com,【イベント】『SPARK 2026 渋谷納涼祭』,『SPARK 2026 渋谷納涼祭』,6,1,0,0,09:00,09:30,12:55,13:15,20 min,2026-08-17.txt
2026-07-17,アメリカ村DROP,23juvc6cscpl652fem1rt584nq@google.com,【イベント】#ﾆｷﾌﾟﾚ『オオサカッ!! -真夏、三陣。-』,#ﾆｷﾌﾟﾚ『オオサカッ!! -真夏、三陣。-』,8,1,0,0,16:30,17:00,19:40,20:10,30 min,2026-08-17.txt
2026-07-18,心斎橋SUNHALL,3ha5dto0fdsuvgnlftsapq0kts@google.com,【イベント】こぐまカリー主催「Mash UP!」,こぐまカリー主催「Mash UP!」,8,1,1,0,11:00,11:30,11:55,12:18,25 min,2026-08-17.txt
2026-07-19,アメリカ村BEYOND,7ducc7c1gipa4dkrhv02ui6qkf@google.com,【イベント】こぐまカリー主催「Spice it Up」,こぐまカリー主催「Spice it Up」,7,0,1,0,11:00,11:30,16:15,16:38,25 min,2026-08-17.txt
2026-07-22,Zirco Tokyo,1ts3s7ouob1josbtkem5qbn9at@google.com,【イベント】「UTAGE FES Vol.5」,「UTAGE FES Vol.5」,5,0,0,0,10:00,10:30,12:45,13:05,20 min,2026-08-17.txt
2026-07-25,SHIBUYA RING,2neo1e7lbbfm1k5aq1emkjdie2@google.com,【イベント】13th Anniversary「アイドル甲子園 in SHIBUYA RING」supported by My-th,13th Anniversary「アイドル甲子園 in SHIBUYA RING」supported by My-th,7,1,1,0,10:00,10:15,16:55,17:15,20 min,2026-08-17.txt
2026-07-26,銀座BASE GRANBELL,19sr8qllhc1ei76h3rf0h6ooeu@google.com,【イベント】「TOKYOPOP vol.2-Supported by こぐまカリー」,「TOKYOPOP vol.2-Supported by こぐまカリー」,7,1,0,0,12:00,12:30,14:15,14:40,25 min,2026-08-17.txt
2026-07-27,下北沢シャングリラ,4r5dniim2g6uceepq41qovoup3@google.com,【イベント】SOVA 10th Anniversary After Party「Owl Party」,SOVA 10th Anniversary After Party「Owl Party」,8,1,0,0,18:30,19:00,19:30,20:00,30 min,2026-08-17.txt
2026-07-28,Shibuya Milkyway,0one27n8djloc2sv601fp9du5l@google.com,【イベント】Drawry.主催3カ月連続フリーライブ「描きかけの夏」,Drawry.主催3カ月連続フリーライブ「描きかけの夏」,9,1,0,0,18:45,19:10,20:10,,,2026-08-17.txt
2026-08-02,下北沢MOSAiC,6e0c3vqsvdf5t6a7ageh41dn3v@google.com,【イベント】INFINITY LIVE presents『ASTROPUFF』,INFINITY LIVE presents『ASTROPUFF』,7,0,0,0,10:40,11:00,12:40,13:05,25 min,2026-08-17.txt
2026-08-09,下北沢MOSAiC,1peojo7bfnge0l4gcadrldajcg@google.com,【イベント】新衣装お披露目イベント Drawry.主催 「New Scene」,新衣装お披露目イベント Drawry.主催 「New Scene」,12,1,0,2,11:15,11:45,11:45,,,2026-08-17.txt
2026-08-10,渋谷GRIT,1833fhi9j9epc6biehjmp8ompa@google.com,【イベント】NEO JAPONISM主催フェス「NEO KASSEN2026」,NEO JAPONISM主催フェス「NEO KASSEN2026」,6,0,1,0,11:00,11:30,16:35,16:55,20 min,2026-08-17.txt
2026-08-13,恵比寿CreAto,6atmotaglpcvbu0g140cm64v2r@google.com,【イベント】「エンジョイナス!!」,「エンジョイナス!!」,8,1,1,0,18:20,18:40,20:20,20:45,25 min,2026-08-17.txt
2026-08-15,お台場R地区,0qn8kfq99c8cbfg36qp3thgkh4@google.com,【イベント】「POPGALAXY2026」,「POPGALAXY2026」,6,1,0,0,09:00,10:00,18:20,18:40,20 min,2026-08-17.txt
2026-08-16,LIVLIV(静岡ARTIE),2uv330p4ludkbtdojctbmut864@google.com,【イベント】いつかの夜に僕たちが、&こぐまカリー共催「いつクマッ！」,いつかの夜に僕たちが、&こぐまカリー共催「いつクマッ！」,8,1,0,0,11:00,11:30,11:30,11:58,30 min,2026-08-17.txt
2026-08-17,渋谷近未来会館,338og22pih1a3rph8mo0eaoh1o@google.com,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,#ﾆｷﾌﾟﾚ『シキサイ。』,8,1,0,0,19:00,19:20,19:50,20:20,30 min,2026-08-17.txt
2026-08-22,時事通信ホール,5ovauojco93umh54hht346f2gh@google.com,【イベント】『GIRLS PARADE』,『GIRLS PARADE』,7,1,1,0,11:40,11:15,13:30,13:50,20 min,2026-08-22.txt
2026-08-24,渋谷近未来会館,4uhatot6gs788vlbvhlqa781ep@google.com,【イベント】#ﾆｷﾌﾟﾚ『シブヤチャンプルー』,#ﾆｷﾌﾟﾚ『シブヤチャンプルー』,7,0,0,0,18:30,18:50,20:20,20:50,30 min,2026-08-24.txt
